"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\kshit\OneDrive\Desktop\Nivasa\DBModels\listing.js", "JavaScript", 0, 55, 0, 0, 0, 1, 4, 60
"c:\Users\kshit\OneDrive\Desktop\Nivasa\DBModels\review.js", "JavaScript", 0, 27, 0, 0, 0, 0, 3, 30
"c:\Users\kshit\OneDrive\Desktop\Nivasa\DBModels\user.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\kshit\OneDrive\Desktop\Nivasa\README.md", "Markdown", 0, 0, 134, 0, 0, 0, 57, 191
"c:\Users\kshit\OneDrive\Desktop\Nivasa\app.js", "JavaScript", 0, 97, 0, 0, 0, 8, 34, 139
"c:\Users\kshit\OneDrive\Desktop\Nivasa\cloudConfig.js", "JavaScript", 0, 27, 0, 0, 0, 1, 5, 33
"c:\Users\kshit\OneDrive\Desktop\Nivasa\controllers\listing.js", "JavaScript", 0, 75, 0, 0, 0, 1, 6, 82
"c:\Users\kshit\OneDrive\Desktop\Nivasa\controllers\review.js", "JavaScript", 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\kshit\OneDrive\Desktop\Nivasa\controllers\user.js", "JavaScript", 0, 56, 0, 0, 0, 0, 4, 60
"c:\Users\kshit\OneDrive\Desktop\Nivasa\init\data.js", "JavaScript", 0, 293, 0, 0, 0, 0, 31, 324
"c:\Users\kshit\OneDrive\Desktop\Nivasa\init\index.js", "JavaScript", 0, 22, 0, 0, 0, 0, 4, 26
"c:\Users\kshit\OneDrive\Desktop\Nivasa\middlewares.js", "JavaScript", 0, 56, 0, 0, 0, 0, 4, 60
"c:\Users\kshit\OneDrive\Desktop\Nivasa\package-lock.json", "JSON", 1804, 0, 0, 0, 0, 0, 1, 1805
"c:\Users\kshit\OneDrive\Desktop\Nivasa\package.json", "JSON", 34, 0, 0, 0, 0, 0, 1, 35
"c:\Users\kshit\OneDrive\Desktop\Nivasa\public\css\index.css", "PostCSS", 0, 0, 0, 0, 159, 1, 17, 177
"c:\Users\kshit\OneDrive\Desktop\Nivasa\public\js\script.js", "JavaScript", 0, 13, 0, 0, 0, 3, 3, 19
"c:\Users\kshit\OneDrive\Desktop\Nivasa\routes\listing.js", "JavaScript", 0, 35, 0, 0, 0, 8, 11, 54
"c:\Users\kshit\OneDrive\Desktop\Nivasa\routes\reviews.js", "JavaScript", 0, 12, 0, 0, 0, 2, 1, 15
"c:\Users\kshit\OneDrive\Desktop\Nivasa\routes\user.js", "JavaScript", 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\kshit\OneDrive\Desktop\Nivasa\utils\expressErrors.js", "JavaScript", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\kshit\OneDrive\Desktop\Nivasa\utils\wrapAsync.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\kshit\OneDrive\Desktop\Nivasa\validation.js", "JavaScript", 0, 19, 0, 0, 0, 1, 4, 24
"c:\Users\kshit\OneDrive\Desktop\Nivasa\views\includes\footer.ejs", "HTML", 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\kshit\OneDrive\Desktop\Nivasa\views\includes\navBar.ejs", "HTML", 0, 0, 0, 49, 0, 0, 12, 61
"c:\Users\kshit\OneDrive\Desktop\Nivasa\views\layouts\boilerplate.ejs", "HTML", 0, 0, 0, 24, 0, 0, 0, 24
"c:\Users\kshit\OneDrive\Desktop\Nivasa\views\listings\edit.ejs", "HTML", 0, 0, 0, 91, 0, 0, 22, 113
"c:\Users\kshit\OneDrive\Desktop\Nivasa\views\listings\error.ejs", "HTML", 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\kshit\OneDrive\Desktop\Nivasa\views\listings\index.ejs", "HTML", 0, 0, 0, 48, 0, 0, 4, 52
"c:\Users\kshit\OneDrive\Desktop\Nivasa\views\listings\listing.ejs", "HTML", 0, 0, 0, 24, 0, 0, 8, 32
"c:\Users\kshit\OneDrive\Desktop\Nivasa\views\listings\new.ejs", "HTML", 0, 0, 0, 53, 0, 0, 18, 71
"c:\Users\kshit\OneDrive\Desktop\Nivasa\views\listings\show.ejs", "HTML", 0, 0, 0, 100, 0, 0, 25, 125
"c:\Users\kshit\OneDrive\Desktop\Nivasa\views\users\login.ejs", "HTML", 0, 0, 0, 25, 0, 0, 6, 31
"c:\Users\kshit\OneDrive\Desktop\Nivasa\views\users\profile.ejs", "HTML", 0, 0, 0, 29, 0, 0, 16, 45
"c:\Users\kshit\OneDrive\Desktop\Nivasa\views\users\signUp.ejs", "HTML", 0, 0, 0, 32, 0, 0, 8, 40
"Total", "-", 1838, 851, 134, 500, 159, 26, 320, 3828
